,id,instituicao,Programa,mun,titulo,autor,Defesa,biblioteca,grauAcademico,link
15,1741976,UNIVERSIDADE PRESBITERIANA MACKENZIE,LETRAS,São Paulo,"O romance A quem de direito, de Martin Caparrós: vozes e silêncios da História argentina.",CLAYTON RODRIGUES DE MELO,2014-02-04,Biblioteca George Alexander,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1741976
16,6612338,UNIVERSIDADE FEDERAL DE OURO PRETO,História,Ouro Preto,Da visibilidade da tortura à luta pela anistia nas páginas do semanário Movimento: disputas e combates em busca de um projeto alternativo (1975-1981),AMANDA QUEIROZ MAGALHAES,2018-12-05,Biblioteca Alphonsus de Guimaraens,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6612338
17,200571033005010006P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,CIÊNCIAS SOCIAIS,SÃO PAULO,ESPERANÇA EQUILIBRISTA - RESISTÊNCIA FEMININA À DITADURA MILITAR NO BRASIL (1964 -1985),Olivia Rangel Joffily,2005-10-01,BNGK,Doutorado,
18,2009633005010013P7,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PSICOLOGIA (PSICOLOGIA SOCIAL),SÃO PAULO,A tortura aos presos políticos durante a ditadura militar brasileira: uma abordagem psicanalítica,Celso Ramos Figueiredo Filho,2009-05-01,PUC-SP,Doutorado,
19,3603119,UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,História,Marechal Cândido Rondon,Violência e Ditadura Militar: uma análise a partir das obras de Plínio Marcos e Roniwalter Jatobá.,LUCIO FELLINI TAZINAFFO,2016-04-26,Unioeste - Campus de Marechal Cândido Rondon,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3603119
20,200434631001017023P8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HISTÓRIA SOCIAL,RIO DE JANEIRO,As marchas da família com Deus pela liberdade e o golpe militar de 1964,ALINE ALVES PRESOT,2004-12-01,IFCS,Mestrado,
21,4543513,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,HISTÓRIA,Natal,Discursos e representações do corpo na ditadura militar no Brasil (1968-1979).,ANDERSON DA SILVA SOARES,2016-09-01,undefined,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4543513
22,2668786,UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/FRANCA,HISTÓRIA,Franca,"Áurea Moretti: a mulher, a resistência e a tortura: um estudo sobre a participação feminina contra a ditadura militar brasileira. 1965-1975.",PEDRO FERNANDES RUSSO,2015-10-29,UNESP/FCHS/Franca,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2668786
23,2011433003017015P3,UNIVERSIDADE ESTADUAL DE CAMPINAS,SOCIOLOGIA,CAMPINAS,CINEMA E SOCIEDADE: SOBRE A DITADURA MILITAR NO BRASIL,Caroline Gomes Leme,2011-03-01,Biblioteca Octavio Ianni/IFCH e Biblioteca Central/UNICAMP,Mestrado,
24,20024331027016001P6,UNIVERSIDADE SEVERINO SOMBRA,HISTÓRIA,VASSOURAS,Educação X Ditadura: A Criação das Instituições de Ensino Superior na Região Sul-Fluminense Pós 64.,Heloísa Maria Jácome,2002-01-01,Biblioteca Central,Mestrado,
25,3132657,UNIVERSIDADE FEDERAL DE SÃO PAULO,ENFERMAGEM,São Paulo,Juquery: a história revisitada A assistência psiquiátrica entre muros na Ditadura Militar,DOUGLAS SHERER SAKAGUCHI,2015-09-30,BIBLAC,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3132657
26,4364508,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,HISTÓRIA,Uberlândia,TESTEMUNHOS DA DITADURA: A CONSTRUÇÃO DA MEMÓRIA NO LIVRO MEMÓRIAS DAS MULHERES DO EXÍLIO,VANESSA MARIA PEREIRA CALACA,2016-08-25,undefined,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4364508
27,7353804,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,MEMÓRIA:LINGUAGEM E SOCIEDADE,Vitória da Conquista,Memórias em disputa: narrativas sobre a prática da tortura durante a ditadura militar no Brasil (1969-1973),CRISTIANE DA SILVA OLIVEIRA,2018-02-05,Biblioteca Professor Antonio de Moura Pereira,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7353804
28,20083086733003017031P9,UNIVERSIDADE ESTADUAL DE CAMPINAS,TEORIA E HISTÓRIA LITERÁRIA,CAMPINAS,A Escrita da Dor: Testemunhos da Ditadura Militar.,Fabrício Flôres Fernandes,2008-02-01,Biblioteca Central,Doutorado,
29,3272112,UNIVERSIDADE DE SÃO PAULO,LITERATURA BRASILEIRA,São Paulo,"Imagens da ditadura militar brasileira em romances de Caio Fernando Abreu, Bernardo Carvalho e Milton Hatoum",MILENA MULATTI MAGRI,2015-09-25,undefined,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3272112
30,3869691,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,LETRAS,Frederico Westphalen,"“REPRESSÃO, CENSURA E SILENCIAMENTOS: A DITADURA MILITAR BRASILEIRA AOS OLHOS DE CAIO FERNANDO ABREU”",JOAO PAULO MASSOTTI,2016-09-29,undefined,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3869691
31,2009740031012001P5,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ,CIÊNCIA JURÍDICA,Jacarezinho,A RESPONSABILIDADE INTERNACIONAL DO ESTADO BRASILEIRO NO SISTEMA INTERAMERICANO DE DIREITOS HUMANOS PELA VIOLAÇÃO AOS DIREITOS DAS VÍTIMAS DA DITADURA MILITAR (1964 A 1985),Roberto Lima Santos,2009-09-01,01,Mestrado,
32,3901300,UNIVERSIDADE DE BRASÍLIA,SOCIOLOGIA,Brasília,O HABITUS MILITAR E AS PRÁTICAS DA TORTURA NA DITADURA MILITAR NO BRASIL (1964-1985),JEFERSON MARTINS DE CASTRO,2016-03-29,unb,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3901300
33,2564321,UNIVERSIDADE FEDERAL DO RIO GRANDE,HISTÓRIA,Rio Grande,"""AS IDEIAS HISTÓRICAS DE ALUNOS DA OITAVA SÉRIE DO ENSINO FUNDAMENTAL SOBRE A DITADURA MILITAR""",DINORAH AMARAL MATTE,2015-08-28,Biblioteca Central da FURG.,Mestrado Profissional,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2564321
34,148912,UNIVERSIDADE DE SANTA CRUZ DO SUL,DIREITO,Santa Cruz do Sul,OS REFLEXOS DO POSICIONAMENTO DA CORTE INTERAMERICANA DE DIREITOS HUMANOS NA TEMÁTICA DA LEI DA ANISTIA: AS EXPERIÊNCIAS BRASILEIRA E ARGENTINA,LUIZ HENRIQUE MENEGON DUTRA,2014-02-28,UNISC,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=148912
35,5963182,UNIVERSIDADE FEDERAL DE SANTA MARIA,LETRAS,Santa Maria,"""ELES TORTURAVAM AS CRIANÇAS NA FRENTE DAS MULHERES"": MULHERES, TRAUMA E MATERNIDADE NA RESISTÊNCIA À DITADURA MILITAR BRASILEIRA",ANA PAULA ALVES CORREA,2018-02-26,BIBLIOTECA CENTRAL (UFSM),Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5963182
36,20112533007012005P3,UNIVERSIDADE METODISTA DE PIRACICABA,DIREITO,Piracicaba,"Desafiando a Lei de anistia em prol do Direito à verdade e à memória, como Direitos Fundamentais",Edeltrudes Querino de S Hayacida,2011-06-01,Unimep,Mestrado,
37,2688963,FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI,LETRAS,Teresina,DITADURA MILITAR E REPRESENTAÇÃO DA MEMÓRIA EM NÃO FALEI,CATIA MARIA DE ARAUJO OLIVEIRA,2015-08-21,Biblioteca Central da UESPI,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2688963
38,199818841001010004P5,UNIVERSIDADE FEDERAL DE SANTA CATARINA,HISTÓRIA,FLORIANÓPOLIS,"Marias do Socorro: mulheres presas, mulheres torturadas",Marise da Silveira Verissimo,1998-07-01,Biblioteca Universitária da UFSC,Mestrado,
39,2012631001017119P5,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HISTÓRIA COMPARADA,RIO DE JANEIRO,"Relatos orais: o clientelismo e as relações do poder representados nas memórias de indivíduos ligados à Favela Vila Operária, em
Duque de Caxias, no Rio de Janeiro
(1960-1985)",DENIZE RAMOS FERREIRA,2012-10-01,PPGHC,Mestrado,
40,200225633005010010P8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,HISTÓRIA,SÃO PAULO,"A Liberdade Permitida. Contradições,  Limites e Conquista do Movimento pela Anistia: 1975-1980",ANDRESSA MARIA VILLAR RAMOS,2002-04-01,PUC-SP,Mestrado,
41,4300749,USP ( ESCOLA SUPERIOR DE AGRICULTURA LUIZ DE QUEIROZ ),ECOLOGIA APLICADA,Piracicaba,Os estereótipos turísticos como forma de manipulação durante a ditadura militar brasileira,PATRICIA MARIANA FINO,2016-12-12,Esalq/usp,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4300749
42,20033242009014003P9,Fundação Universidade de Passo Fundo,HISTÓRIA,Passo Fundo,Repressão e oposição Política em Santa Catarina: 1964-1973,Ana Maria Pertile,2003-04-01,Biblioteca Central da Universidade de Passo Fundo,Mestrado,
43,2006430001013006P3,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,PSICOLOGIA,VITÓRIA,Mulheres e militância no Espírito Santo: encontros e confrontos durante a ditadura militar,Ingrid Faria Gianordoli-Nascimento,2006-04-01,Universidade Federal do Espírito Santo,Doutorado,
44,199810731003010005P6,UNIVERSIDADE FEDERAL FLUMINENSE,HISTÓRIA,NITERÓI,Exílio. Entre raízes e radares.,DENISE ROLLEMBERG CRUZ,1998-06-01,Biblioteca Central do Gragoatá,Doutorado,
45,200434531001017023P8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HISTÓRIA SOCIAL,RIO DE JANEIRO,A preservação do legislativo pelo regime militar brasileiro: ficção legalista ou necessidade de legitimação? (1964-1968),CLÁUDIO BESERRA DE VASCONCELOS,2004-03-01,IFCS,Mestrado,
46,200136733005010006P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,CIÊNCIAS SOCIAIS,SÃO PAULO,"Frente Ampla (1966 - 1968). Aliança, Contradições e Limites.",EDIVALDO BATISTA MARCHI,2001-06-01,Bibliotéca Central da PUC/SP,Mestrado,
47,2498806,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,COMUNICAÇÃO,Juiz de Fora,'A TORTURA DE ESTELA CONTADA POR DILMA': memórias e discursos no jornal Estado de Minas,DANIELLA LISIEUX DE OLIVEIRA,2015-02-27,undefined,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2498806
48,19964833002010028P1,UNIVERSIDADE DE SÃO PAULO,SOCIOLOGIA,São Paulo,A Ditadura Militar no Brasil: repressão e pretensão de legitimidade,Maria José de Rezende,1996-06-01,Biblioteca de Ciências Sociais,Doutorado,
49,5261988,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,HISTÓRIA,Uberlândia,"IMAGENS DA LUTA E DA RESISTÊNCIA NA LITERATURA DE ANTONIO CALLADO: QUARUP (1967), BAR DON JUAN (1971), REFLEXOS DO BAILE (1976) E SEMPREVIVA (1981)",CLAUDIA HELENA DA CRUZ,2017-10-23,undefined,Doutorado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5261988
50,19976233003017001P2,UNIVERSIDADE ESTADUAL DE CAMPINAS,EDUCACAO,CAMPINAS,O diálogo é a violência: movimento estudantil e ditadura em 1968,MARIA RIBEIRO DO VALLE,1997-08-01,Biblioteca Central da Unicamp,Mestrado,
51,20123340004015014P3,UNIVERSIDADE ESTADUAL DE MARINGÁ,LETRAS,MARINGÁ,EM EXIBIÇÃO NOS CINEMAS: A REPRESENTAÇÃO DISCURSIVA DA MILITÂNCIA DE ESQUERDA E DA RESISTÊNCIA NA DITADURA MILITAR,REJONE VALENTIM ALVES,2012-09-01,BCE - BIBLIOTECA CENTRAL DA UME,Mestrado,
52,20032015001016026P1,UNIVERSIDADE FEDERAL DO PARÁ,SOCIOLOGIA,BELÉM,"Região Amazônica, Projeto de Integração do Estado Brasileiro e Alteridade",Zuleide Pamplona Ximenes Ponte,2003-12-01,Bibliot. de Pós Grad. CFCH e Bibliot. Central da UFPA.,Mestrado,
53,20072531001017023P8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HISTÓRIA SOCIAL,RIO DE JANEIRO,PELOS VERSOS DAS CANÇÕES: UM ESTUDO SOBRE O FUNCIONAMENTO DA CENSURA MUSICAL DURANTE A DITADURA MILITAR BRASILEIRA (1964-1985),MAIKA LOIS CAROCHA,2007-04-01,IFCS,Mestrado,
54,20072733005010006P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,CIÊNCIAS SOCIAIS,SÃO PAULO,"POSICIONAMENTOS DA INSTITUIÇÃO MAÇÔNICA NO PROCESSO POLÍTICO
DITATORIAL BRASILEIRO (1964): Da visão liberal ao conservadorismo.",Tatiana Martins Alméri,2007-10-01,PUC/SP,Mestrado,
55,20111832006012012P0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,HISTÓRIA,UBERLÂNDIA,"O ENCONTRO DO TEATRO MUSICAL COM A ARTE ENGAJADA DE ESQUERDA: EM CENA, O
SHOW OPINIÃO (1964)",Sírley Cristina Oliveira,2011-05-01,Biblioteca Campus Santa Mônica da UFU,Doutorado,
56,20101231001017023P8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HISTÓRIA SOCIAL,RIO DE JANEIRO,A VISÃO DA COMUNIDADE DE INFORMAÇÕES SOBRE A ATUAÇÃO DOS BISPOS CATÓLICOS NA DITADURA MILITAR BRASILEIRA (1970-1980),PAULO CÉSAR GOMES BEZERRA,2010-04-01,IFCS-UFRJ,Mestrado,
57,20012331027016001P6,UNIVERSIDADE SEVERINO SOMBRA,HISTÓRIA,VASSOURAS,Energia nuclear no Brasil - estratégia e promoção política da ditadura militar (1964-1979),Nuely Ferreira Arbex,2001-03-01,Biblioteca Setorial do Mestrado da USS,Mestrado,
58,19982742001013033P4,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,CIÊNCIA  POLÍTICA,PORTO ALEGRE,A DIPLOMACIA DO INTERESSE NACIONAL: A POLÍTICA EXTERNA DO GOVERNO MÉDICI (1969-1974).,CÍNTIA VIEIRA SOUTO,1998-06-01,BSCSH,Mestrado,
59,200325325001019015P8,UNIVERSIDADE FEDERAL DE PERNAMBUCO,HISTÓRIA,RECIFE,Censura de livros durante a ditadura militar 1964-1978,Maria Mercêdes Dias Ferreira Otero,2003-07-01,Central,Doutorado,
60,20091025001019015P8,UNIVERSIDADE FEDERAL DE PERNAMBUCO,HISTÓRIA,RECIFE,"Cruzados do século XX: o Movimento Tradição, Família e Propriedade (TFP). Origens, doutrinas e práticas (1960-1970)",FILIPE FRANCISCO NEVES DOMINGUES DA SILVA,2009-08-01,Bib. Central da UFPE,Mestrado,
61,20121542001013043P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,HISTÓRIA,PORTO ALEGRE,A escrita da história por jornalistas: diálogos e distanciamentos com a historiografia acadêmica. O caso Elio Gaspari.,Ângela Ravazzolo,2012-08-01,BSCSH,Doutorado,
62,20083633005010010P8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,HISTÓRIA,SÃO PAULO,As sensibilidades coletivas nas ações políticas: a dimensão afetiva no movimento pela anistia (1975-1980),ANDRESSA MARIA VILLAR RAMOS,2008-08-01,puc sp,Doutorado,
63,20051033003017015P3,UNIVERSIDADE ESTADUAL DE CAMPINAS,SOCIOLOGIA,CAMPINAS,Paginas de resistencia : intelectuais e cultura na Revista Civilização Brasileira.,Rodrigo Czajka,2005-03-01,Biblioteca do IFCH e Biblioteca Central ? UNICAMP,Mestrado,
64,20114233005010006P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,CIÊNCIAS SOCIAIS,SÃO PAULO,"A Igreja Católica nos ""Anos de Chumbo"": resistência e deslegitimação do Estado autoritário brasileiro 1968-1974",Jose Cardonha,2011-06-01,puc sp,Doutorado,
65,200422031001017066P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,SERVIÇO SOCIAL,RIO DE JANEIRO,Diários sobre a ditadura: O que seus filhos têm a dizer?,DANIELE RIBEIRO DO VAL DE OLIVEIRA LIMA SANTA BÁBARA,2004-01-01,Centro de Filosofia e ciências Humanas - CFCH,Mestrado,
66,200212928001010023P2,UNIVERSIDADE FEDERAL DA BAHIA,CIÊNCIAS SOCIAIS,SALVADOR,O Ressurgimento do Movimento Estudantil Baiano na Década de 70,Antônio Eduardo Alves de Oliveira,2002-01-01,"Isaias Alves, FFCH-UFBa",Mestrado,
67,6170715,UNIV. REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,Direitos Humanos,Ijuí,"DEMOCRACIA, DIREITOS HUMANOS E DITADURA MILITAR NO BRASIL: a capilarização da Vanguarda Popular Revolucionaria no interior do Rio Grande do Sul por meio da Sociedade Pesqueira Alto Uruguai e a trajetória de Roberto Antonio de Fortini como exemplos de (micro) resistência ao regime ditatorial.",CLARISSA MERTZ,2017-08-24,Biblioteca Universitária Mario Osorio Marques.,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6170715
68,4166098,UNIVERSIDADE ESTADUAL DO CEARÁ,EDUCAÇÃO,Fortaleza,O ENSINO DE HISTÓRIA NO CEARÁ DURANTE A DITADURA MILITAR: ENTRE O PRESCRITO E A MEMÓRIA DE PRÁTICAS DOCENTES,FRANCISCO FELIPE DE AGUIAR PINHEIRO,2017-01-13,Biblioteca Central da UECE,Mestrado,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4166098
69,20103140001016009P0,UNIVERSIDADE FEDERAL DO PARANÁ,HISTÓRIA,CURITIBA,"ARTE E POLÍTICA: O TEATRO COMO PRÁTICA DE LIBERDADE; CURITIBA, 1950-1978",Reginaldo Cerqueira Sousa,2010-05-01,Central / UFPR,Mestrado,
70,20101932001010043P1,UNIVERSIDADE FEDERAL DE MINAS GERAIS,HISTÓRIA,BELO HORIZONTE,FOLHAS VOLANTES: IMPRESSOS REVOLUCIONÁRIOS NA CANÇÃO POPULAR BRASILEIRA,Clarissa Teixeira Fazito Rezende,2010-12-01,BIBLIOTECA DA FAFICH E BIBLIOTECA DA UFMG,Mestrado,
71,20103442007011005P9,UNIVERSIDADE DO VALE DO RIO DOS SINOS,DIREITO,São Leopoldo,EM BUSCA DO TEMPO PERDIDO: DAS CRISES DO ESTADO E DA CONSTITUIÇÃO À ADEQUAÇÃO E CONTRIBUIÇÃO DO DIREITO INTERNACIONAL DOS DIREITOS HUMANOS PARA A ABERTURA DOS ARQUIVOS DA DITADURA MILITAR BRASILEIRA,Ana Carolina Guimarães Seffrin,2010-12-01,Biblioteca Unisinos,Mestrado,
72,199925133005010006P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,CIÊNCIAS SOCIAIS,SÃO PAULO,O SATÂNICO DOUTRO GO: A IDEOLOGIA BONAPARTISTA DE GOLBERY DO COUTO E SILVA,Vânia Noeli Ferreira de Assunção,1999-04-01,PUC-SP,Mestrado,
73,200228431001017023P8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HISTÓRIA,RIO DE JANEIRO,UM FILHO TEU NÃO FOGE À LUTA: O MOVIMENTO ESTUDANTIL BRASILEIRO NO COMBATE AO REGIME MILITAR (1964-1968),PATRICIA DA CONCEICAO SOUZA TORRES,2002-06-01,IFCS,Mestrado,
74,20061633003017019P9,UNIVERSIDADE ESTADUAL DE CAMPINAS,HISTÓRIA,CAMPINAS,"Personagens, trajetórias e histórias das Forças Armadas de Libertação Nacional",Alessandra Bagatim,2006-02-01,IFCH?Unicamp,Mestrado,
75,20071531003010043P5,UNIVERSIDADE FEDERAL FLUMINENSE,PSICOLOGIA,NITERÓI,CRIAÇÃO DE ARQUIVOS: TESTEMUNHO E MEMÓRIA DA EXPERIÊNCIA DA TORTURA NO BRASIL.,Luciana Knijnik,2007-08-01,Biblioteca Central do Campus do Gragoatá - UFF,Mestrado,
76,20101633005010010P8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,HISTÓRIA,SÃO PAULO,Entre o entretenimento e a crítica social: a telenovela moderna da Rede Globo de Televisão e a formação de uma nova identidade nacional (1969-1975),MAURICIO TINTORI PIQUEIRA,2010-06-01,PUC SP,Mestrado,
